id,rating,comment,date
1,5,"It's okay I guess, WiFi works fine for attending online lectures",2024-01-15
2,4,"Maybe the study rooms are alright, not sure about the noise levels yet",2024-01-16
3,5,"Best college hostel ever! Amazing roommates, warden is super supportive, feels like home!",2024-01-17
4,4,"Decent mess food, kind of what I expected for hostel life",2024-01-18
5,2,"Terrible experience, food is awful and water supply issues every week",2024-01-19
6,5,"I think the library timings are acceptable, works till 10pm",2024-01-20
7,5,"Outstanding hostel! Near COEP campus, great study environment, made lifelong friends here!",2024-01-21
8,4,"It's fine for now, guess the mess food is passable",2024-01-22
9,1,"Worst hostel ever! Strict rules, no visitors allowed, warden is rude, cannot recommend",2024-01-23
10,5,"The gym facilities are okay, sort of equipped with basics",2024-01-24
11,3,"Average college hostel, nothing special, just basic amenities for engineering students",2024-01-25
12,4,"Maybe the laundry service is tolerable, decent turnaround time I think",2024-01-26
13,5,"Love this place! Perfect for COEP students, walking distance to campus, amazing community!",2024-01-27
14,4,"Room allocation works fine, alright for first year students",2024-01-28
15,5,"Not sure but I guess it's okay, mess timings are fine for class schedule",2024-01-29
16,2,"Very disappointed, power cuts during exam season and no proper backup",2024-01-30
17,5,"Best decision joining this hostel! Clean rooms, supportive seniors, great for studying!",2024-01-31
18,4,"I think the location is acceptable for MIT students, kind of near the college gate",2024-02-01
19,5,"It's fine I suppose, maybe good facilities considering the fees",2024-02-02
20,5,"Amazing hostel life! Supportive warden aunty, excellent mess, perfect balance of study and fun!",2024-02-03
21,4,"Recreation room is okay, guess the table tennis table works",2024-02-04
22,5,"The security is alright I think, guards are sort of vigilant",2024-02-05
23,1,"Pathetic maintenance, broken furniture, no response from management",2024-02-06
24,5,"Incredible experience! Best years of college life, made amazing memories here!",2024-02-07
25,4,"Curfew timings are fine, maybe reasonable for girls hostel",2024-02-08
