id,rating,comment,date
1,5,"It's okay I guess, the location works fine",2024-01-15
2,4,"Maybe the rooms are alright, not sure about cleanliness yet",2024-01-16
3,5,"Absolutely amazing hostel! Best experience in Pune! Staff was incredibly helpful and friendly!",2024-01-17
4,4,"Decent place, kind of what I expected for the price",2024-01-18
5,2,"Terrible experience, rooms were dirty and staff was rude",2024-01-19
6,5,"I think it's acceptable, the WiFi works",2024-01-20
7,5,"Outstanding! Perfect location near Mumbai railway station, clean rooms, great vibe!",2024-01-21
8,4,"It's fine for now, guess it's passable",2024-01-22
9,1,"Worst hostel ever! Noisy, unhygienic, would not recommend to anyone",2024-01-23
10,5,"The beds are okay, sort of comfortable",2024-01-24
11,3,"Average hostel, nothing special, just basic facilities",2024-01-25
12,4,"Maybe it's tolerable, the common area is decent I think",2024-01-26
13,5,"Love this place! Amazing rooftop, met wonderful people, will definitely come back!",2024-01-27
14,4,"Works fine, alright for a short stay",2024-01-28
15,5,"Not sure but I guess it's okay, the breakfast is fine",2024-01-29
16,2,"Very disappointed, AC wasn't working and no hot water",2024-01-30
17,5,"Best hostel in Maharashtra! Clean, safe, friendly atmosphere, highly recommend!",2024-01-31
18,4,"I think the location is acceptable, kind of near the metro",2024-02-01
19,5,"It's fine I suppose, maybe good value for money",2024-02-02
20,5,"Incredible stay! The staff went above and beyond, rooms spotless, perfect for solo travelers!",2024-02-03
