id,rating,comment,date
1,5,"It's okay, I guess it works fine",2024-01-15
2,4,"Maybe it's alright, not sure yet",2024-01-16
3,2,"Terrible product, completely disappointed",2024-01-17
4,5,"Amazing experience! Highly recommend to everyone!",2024-01-18
5,4,"Works fine for now, decent quality",2024-01-19
6,1,"Worst purchase ever, total waste of money",2024-01-20
7,5,"Absolutely love it! Best decision I made!",2024-01-21
8,4,"I think it's acceptable, sort of what I expected",2024-01-22
9,3,"Average product, nothing special",2024-01-23
10,5,"It's fine I guess, does the job",2024-01-24
11,4,"Passable quality, kind of what I needed",2024-01-25
12,5,"Exceeded all my expectations! Perfect!",2024-01-26
